epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,266.469,0.87407,0.77218,1.32537,0.8935,0.37717,0.4529,0.26349,1.83151,2.14167,1.50819,2.35472e-05,2.35472e-05,2.35472e-05
76,268.955,0.72626,0.66009,1.10841,0.8935,0.37717,0.4529,0.26349,1.83151,2.14167,1.50819,2.29819e-05,2.29819e-05,2.29819e-05
77,272.698,0.72685,0.66292,1.16075,0.8935,0.37717,0.4529,0.26349,1.83151,2.14167,1.50819,2.23929e-05,2.23929e-05,2.23929e-05
78,275.243,0.88525,1.04947,1.26379,0.89292,0.37613,0.44458,0.26086,1.84002,2.12771,1.52274,2.17805e-05,2.17805e-05,2.17805e-05
79,277.743,0.67357,0.66141,1.04971,0.89292,0.37613,0.44458,0.26086,1.84002,2.12771,1.52274,2.11444e-05,2.11444e-05,2.11444e-05
80,280.423,0.64543,0.5996,0.99185,0.89292,0.37613,0.44458,0.26086,1.84002,2.12771,1.52274,2.04848e-05,2.04848e-05,2.04848e-05
81,283.227,0.65707,0.90781,1.18339,0.71741,0.39247,0.45469,0.26387,1.82643,2.11814,1.5144,1.98016e-05,1.98016e-05,1.98016e-05
82,285.759,0.63248,0.50429,1.08636,0.71741,0.39247,0.45469,0.26387,1.82643,2.11814,1.5144,1.90949e-05,1.90949e-05,1.90949e-05
83,287.995,0.7475,0.86273,1.14443,0.71741,0.39247,0.45469,0.26387,1.82643,2.11814,1.5144,1.83646e-05,1.83646e-05,1.83646e-05
84,290.555,0.53138,0.55496,1.03649,0.71135,0.39004,0.45319,0.26292,1.82003,2.14157,1.51431,1.76107e-05,1.76107e-05,1.76107e-05
85,292.768,0.67409,0.82218,1.07136,0.71135,0.39004,0.45319,0.26292,1.82003,2.14157,1.51431,1.68333e-05,1.68333e-05,1.68333e-05
86,295.178,0.86543,0.94346,1.41025,0.71135,0.39004,0.45319,0.26292,1.82003,2.14157,1.51431,1.60323e-05,1.60323e-05,1.60323e-05
87,297.235,0.87562,0.90635,1.24687,0.71135,0.39004,0.45319,0.26292,1.82003,2.14157,1.51431,1.52077e-05,1.52077e-05,1.52077e-05
88,299.339,0.78413,0.62298,1.23621,0.88773,0.38272,0.45136,0.26236,1.83073,2.12687,1.51033,1.43596e-05,1.43596e-05,1.43596e-05
89,301.193,0.86556,0.87189,1.21692,0.88773,0.38272,0.45136,0.26236,1.83073,2.12687,1.51033,1.34879e-05,1.34879e-05,1.34879e-05
90,303.114,0.71195,0.7955,1.0552,0.88773,0.38272,0.45136,0.26236,1.83073,2.12687,1.51033,1.25927e-05,1.25927e-05,1.25927e-05
